extension	setting	stage	source_embryo	direction	frozen_ridge	frozen_gain	anchor_rank	anchor_gene	anchor_gene_index	utility_median_residual_pearson	mse_improvement_median	fraction_genes_helped	genes_evaluated	top_supported_genes
post-hoc experimental-design extension	75p_E2_to_E1	75% epiboly	E2	E2→E1	10.0	1.0	14	zic3	488	0.0007708833418358374	0.00023221076807883323	0.6033402922755741	479	zic2a,fzd7a,skia,her9,dld,irx1b,pax3a,olig4,myclb,meis3
post-hoc experimental-design extension	75p_E2_to_E1	75% epiboly	E2	E2→E1	10.0	1.0	15	lamb1a	227	0.0015735886974309055	0.00042444156172408154	0.7244258872651357	479	lamc1,bmp2b,bmp7a,erf,lef1,fn1a,notch1a,cdkn1ca,si:dkey-92i17.2,lima1a
post-hoc experimental-design extension	75p_E2_to_E1	75% epiboly	E2	E2→E1	10.0	1.0	16	foxd5	141	1.127913518950141e-05	-2.3378294831372104e-05	0.5031315240083507	479	fgf8a,prickle1b,tbxta,fzd7a,etv5a,tbxtb,cdx4,rasgef1ba,etv4,rab11fip4a
post-hoc experimental-design extension	6s_E1_to_E2	6-somite	E1	E1→E2	10.0	0.75	1	cdh1	51	0.0007964274517321401	0.00015428541936439444	0.6325678496868476	479	grhl2b,dlx3b,elf1,prdm1a,tp63,tfap2a,tfap2c,krt8,zeb1b,atoh1c
post-hoc experimental-design extension	6s_E1_to_E2	6-somite	E1	E1→E2	10.0	0.75	2	fn1b	130	0.002924735365718467	0.0005037976611349526	0.7494780793319415	479	efemp2b,kazald2,uncx4.1,meox1,lbx2,foxd5,myod1,tbx6,mef2d,six4a
post-hoc experimental-design extension	6s_E1_to_E2	6-somite	E1	E1→E2	10.0	0.75	3	nsd2	298	0.0005312319293259149	0.00010665922883734691	0.697286012526096	479	si:dkey-261m9.12,si:dkey-108k21.14,rrm2,ccnf,nasp,si:ch211-161h7.4,ncapd2,chaf1a,baz1b,rbbp4
post-hoc experimental-design extension	6s_E1_to_E2	6-somite	E1	E1→E2	10.0	0.75	4	tbx16l	427	0.0010019862992498019	0.00016790352993734103	0.651356993736952	479	msgn1,tbx16,foxd5,nrarpa,crabp2b,her12,her7,her1,apoc1,jcada
post-hoc experimental-design extension	6s_E1_to_E2	6-somite	E1	E1→E2	10.0	0.75	5	rrbp1b	360	0.0015973564182720779	0.00025617776238040513	0.6826722338204593	479	tram1,lamp2,aldob,atp2b1a,foxa3,xbp1,bach1b,cst3,klf3,hdlbpa
post-hoc experimental-design extension	6s_E1_to_E2	6-somite	E1	E1→E2	10.0	0.75	6	fn1a	129	0.0023579464693787855	0.0003770375873322074	0.7077244258872651	479	nid2a,lamc1,aplnra,six4b,lamb1a,lmo4a,six3b,snai2,adka,wnt11f2
post-hoc experimental-design extension	6s_E1_to_E2	6-somite	E1	E1→E2	10.0	0.75	7	znf185	491	0.0010363457654863073	0.00016616347045572688	0.6680584551148225	479	krt99,eppk1,grhl1,krt4,zgc:175088,lgals3b,klf2b,perp,krt18a.1,tuba8l2
post-hoc experimental-design extension	6s_E1_to_E2	6-somite	E1	E1→E2	10.0	0.75	8	six7	392	9.714026130125397e-05	2.3924787167700634e-05	0.5490605427974948	479	rx3,mab21l2,pax6b,otx2b,nr2f2,otx2a,her9,meis2a,itga6a,dync1li1
post-hoc experimental-design extension	6s_E1_to_E2	6-somite	E1	E1→E2	10.0	0.75	9	aurkb	25	0.001077666860240467	0.00017948447923482602	0.7411273486430062	479	cenpf,dlgap5,aspm,mki67,tuba8l,tpx2,cdc14b,ccnf,tubb2b,cdca8
post-hoc experimental-design extension	6s_E1_to_E2	6-somite	E1	E1→E2	10.0	0.75	10	hoxb9a	192	0.00024014317255727224	6.59915473617545e-05	0.6096033402922756	479	hoxc8a,cdx4,hoxc3a,hoxb1b,hoxc6a,prickle1b,hoxb7a,sall1a,raraa,etv5b
post-hoc experimental-design extension	6s_E1_to_E2	6-somite	E1	E1→E2	10.0	0.75	11	ntd5	299	0.0007931914061229534	0.0001197213478626169	0.6659707724425887	479	tbxta,shha,lhx1a,foxa,akap12b,pmp22b,twist2,fbln2,irx5a,sall3b
post-hoc experimental-design extension	6s_E1_to_E2	6-somite	E1	E1→E2	10.0	0.75	12	sox11a	403	0.0019969267878369723	0.0003848918129707585	0.6951983298538622	479	sox3,sp8b,tuba1a,elavl3,myclb,her8a,sox2,sox19a,mych,chrd
post-hoc experimental-design extension	6s_E1_to_E2	6-somite	E1	E1→E2	10.0	0.75	13	gata5	158	0.0005835835138428003	0.00010197880168327789	0.6033402922755741	479	znf1004,gata6,foxh1,fzd7a,cst3,atp2b1a,cdh6,cnn3a,gapdh,mcama
post-hoc experimental-design extension	6s_E1_to_E2	6-somite	E1	E1→E2	10.0	0.75	14	prmt1	329	0.0006586663470595222	0.0001371020062854722	0.6701461377870563	479	rps3,rpl4,rpl5a,eif3ea,rbmx,ppan,rpl6,mibp2,rbm4.3,dkc1
post-hoc experimental-design extension	6s_E1_to_E2	6-somite	E1	E1→E2	10.0	0.75	15	mcm2	249	0.0005745344217829018	0.00010131366635746097	0.6638830897703549	479	mcm3,uhrf1,mcm4,mcm5,mcm7,cdt1,gmnn,supt16h,nasp,rrm2
post-hoc experimental-design extension	6s_E1_to_E2	6-somite	E1	E1→E2	10.0	0.75	16	pax3a	307	0.00038695942943667294	9.647036536675202e-05	0.5824634655532359	479	zic2b,zic2a,zic3,msx3,foxd3,msx1b,sox10,klf7a,gli1,noto
post-hoc experimental-design extension	6s_E2_to_E1	6-somite	E2	E2→E1	0.1	1.0	1	tagln2	423	0.0011867775465028152	0.00015997391612340706	0.6784968684759917	479	tp63,tfap2c,vgll4l,cxcr4a,grhl2b,bmp7a,dact2,prickle1b,gata3,bambia
post-hoc experimental-design extension	6s_E2_to_E1	6-somite	E2	E2→E1	0.1	1.0	2	tuba8l2	454	0.0020150733327192194	0.0003021316603740165	0.697286012526096	479	notch1a,hdlbpa,bhlha15,supt16h,ahi1,zswim5,foxn2b,cdx4,csrp1a,mef2d
post-hoc experimental-design extension	6s_E2_to_E1	6-somite	E2	E2→E1	0.1	1.0	3	fn1b	130	0.0009327944267124855	0.00011031881951623079	0.5782881002087683	479	uncx4.1,tbx1,pax2a,tbx6,lima1a,efemp2b,lbx2,gli2a,her5,lmnb1
post-hoc experimental-design extension	6s_E2_to_E1	6-somite	E2	E2→E1	0.1	1.0	4	rrbp1b	360	0.0024696385998631554	0.00040767608453573523	0.697286012526096	479	tram1,foxa2,xbp1,foxa3,lamp2,shha,hdlbpa,emid1,aldob,atf6
post-hoc experimental-design extension	6s_E2_to_E1	6-somite	E2	E2→E1	0.1	1.0	5	hoxc3a	193	0.0005418721089167633	6.301373366607299e-05	0.5845511482254697	479	hoxb9a,hoxb1b,hoxb7a,hoxc8a,dact2,raraa,cdx4,hoxc6a,cnmd,zswim5
post-hoc experimental-design extension	6s_E2_to_E1	6-somite	E2	E2→E1	0.1	1.0	6	nsd2	298	0.002216999704556702	0.0003859298233774844	0.7077244258872651	479	uhrf1,rrm2,mcm4,mcm3,nasp,mcm7,mcm2,chaf1a,mcm5,baz1b
post-hoc experimental-design extension	6s_E2_to_E1	6-somite	E2	E2→E1	0.1	1.0	7	tbx16l	427	0.0013065897456976394	0.00013200666244433945	0.6325678496868476	479	foxd5,msgn1,fgf8a,crabp2b,tbx16,nrarpa,apoc1,her7,her1,vent
post-hoc experimental-design extension	6s_E2_to_E1	6-somite	E2	E2→E1	0.1	1.0	8	znf185	491	0.0007735387535007937	8.816604941297435e-05	0.6221294363256785	479	krt99,eppk1,krt18a.1,grhl1,krt4,zgc:175088,gata2a,klf2b,krt8,perp
post-hoc experimental-design extension	6s_E2_to_E1	6-somite	E2	E2→E1	0.1	1.0	9	fn1a	129	0.0015653560710011671	0.00016703943178014713	0.5991649269311065	479	lamc1,nid2a,snai2,lamb1a,aplnra,noto,six4b,bmp7a,akap12b,foxh1
post-hoc experimental-design extension	6s_E2_to_E1	6-somite	E2	E2→E1	0.1	1.0	10	six7	392	0.0008650797445071134	0.00012458692864220078	0.6242171189979123	479	mab21l2,otx2b,rx3,itga6a,otx2a,nr2f2,mibp2,fscn1a,zswim5,cldnd
post-hoc experimental-design extension	6s_E2_to_E1	6-somite	E2	E2→E1	0.1	1.0	11	aurkb	25	0.000726559900531526	9.731239006138814e-05	0.6910229645093946	479	aspm,cenpf,cdc14b,tpx2,mki67,cdca8,tuba8l,dlgap5,ccnf,ncapd2
post-hoc experimental-design extension	6s_E2_to_E1	6-somite	E2	E2→E1	0.1	1.0	12	meox1	259	0.0007117291725841635	8.527392801252476e-05	0.5803757828810021	479	tbx1,pcdh10b,foxc1a,pax2a,efnb2a,twist1a,etv4,klf17,grhl2b,epha2a
post-hoc experimental-design extension	6s_E2_to_E1	6-somite	E2	E2→E1	0.1	1.0	13	gata5	158	0.0005299511469196716	6.482506354454909e-05	0.5970772442588727	479	znf1004,gata6,foxh1,fzd7a,aldob,cst3,atp2b1a,mcama,cdh6,cnn3a
post-hoc experimental-design extension	6s_E2_to_E1	6-somite	E2	E2→E1	0.1	1.0	14	msx1b	268	0.0022685437262826014	0.0002911783222963038	0.6576200417536534	479	zic2b,zic3,pax3a,zic2a,msx3,unc5b,dharma,rpl6,klf7a,casz1
post-hoc experimental-design extension	6s_E2_to_E1	6-somite	E2	E2→E1	0.1	1.0	15	bmp4	34	4.7049415816624585e-05	1.0302110503013218e-06	0.5219206680584552	479	bhlha15,zgc:174154,csrp1a,emx3,her6,dync1li1,sall3a,pitx2,foxo1a,rps6
post-hoc experimental-design extension	6s_E2_to_E1	6-somite	E2	E2→E1	0.1	1.0	16	nanos3	278	-2.0714025517620804e-06	-1.0321945491831297e-05	0.4968684759916493	479	ddx4,sox32,dynll1,rbm4.3,rpl10,cnmd,msgn1,anp32e,apoc1,nasp
