target_key	stage	annotation	class	n_cells	cell_fraction	median_absolute_truth_residual	median_within_class_truth_residual_variance	hyperspatial_map_calibrated_fusion__median_within_class_residual_pearson	hyperspatial_map_calibrated_fusion__genes_with_positive_within_class_recovery	anchor_only_calibrated__median_within_class_residual_pearson	anchor_only_calibrated__genes_with_positive_within_class_recovery	atlas_plus_global_anchor_residual__median_within_class_residual_pearson	atlas_plus_global_anchor_residual__genes_with_positive_within_class_recovery	atlas_plus_local_anchor_residual__median_within_class_residual_pearson	atlas_plus_local_anchor_residual__genes_with_positive_within_class_recovery	n_genes	primary_method
6s_E2_to_E1	6-somite	type	Somitic Mesoderm	4464	0.1986206896551724	0.40870052576065063	0.3527306616306305	0.40486156940460205	414	0.43509024381637573	414	0.2900106906890869	412	0.2749738097190857	412	414	hyperspatial_map_calibrated_fusion
6s_E2_to_E1	6-somite	type	Tailbud	1320	0.05873192436040044	0.4265662729740143	0.3145977556705475	0.4117047190666199	409	0.45772749185562134	413	0.27861303091049194	397	0.26434987783432007	386	414	hyperspatial_map_calibrated_fusion
6s_E2_to_E1	6-somite	tissue	Adaxial Cells	709	0.031546162402669636	0.4215368628501892	0.33602261543273926	0.39817121624946594	414	0.4407445192337036	414	0.2513246536254883	406	0.23161877691745758	401	414	hyperspatial_map_calibrated_fusion
6s_E2_to_E1	6-somite	tissue	Cephalic Mesoderm	859	0.0382202447163515	0.4247449040412903	0.3788895010948181	0.39894112944602966	413	0.43750691413879395	413	0.2761584222316742	402	0.2469240128993988	393	414	hyperspatial_map_calibrated_fusion
6s_E2_to_E1	6-somite	tissue	Cranial Ganglion	59	0.002625139043381535	0.48666274547576904	0.3355003893375397	0.38227468729019165	403	0.41752320528030396	406	0.2969970703125	358	0.28206074237823486	345	414	hyperspatial_map_calibrated_fusion
6s_E2_to_E1	6-somite	tissue	Diencephalon	394	0.01753058954393771	0.36604979634284973	0.280099093914032	0.3757200241088867	411	0.4058745503425598	412	0.23698273301124573	387	0.23032107949256897	375	414	hyperspatial_map_calibrated_fusion
6s_E2_to_E1	6-somite	tissue	EVL + autofluorescence	234	0.010411568409343715	0.4853147268295288	0.5121426582336426	0.42569562792778015	400	0.444167822599411	407	0.30478721857070923	392	0.2854229807853699	388	414	hyperspatial_map_calibrated_fusion
6s_E2_to_E1	6-somite	tissue	EVL/Periderm	1517	0.0674972191323693	0.3548913598060608	0.30483317375183105	0.4525558352470398	413	0.46694809198379517	414	0.30401259660720825	412	0.27916771173477173	409	414	hyperspatial_map_calibrated_fusion
6s_E2_to_E1	6-somite	tissue	Endoderm Pancreatic/Intestinal	225	0.010011123470522803	0.54659104347229	0.6306305527687073	0.3441748321056366	413	0.3784899115562439	410	0.25879865884780884	405	0.22759898006916046	402	414	hyperspatial_map_calibrated_fusion
6s_E2_to_E1	6-somite	tissue	Endoderm Pharyngeal	145	0.0064516129032258064	0.4775904417037964	0.47854292392730713	0.3583185076713562	405	0.3894190490245819	411	0.24141325056552887	382	0.20383402705192566	372	414	hyperspatial_map_calibrated_fusion
6s_E2_to_E1	6-somite	tissue	Epidermis	1875	0.08342602892102335	0.42837321758270264	0.43650034070014954	0.4121578335762024	412	0.44105079770088196	414	0.28662213683128357	412	0.25303763151168823	400	414	hyperspatial_map_calibrated_fusion
6s_E2_to_E1	6-somite	tissue	Floor Plate	338	0.01503893214682981	0.4113101363182068	0.36272358894348145	0.3841990828514099	409	0.3942040205001831	410	0.26019173860549927	399	0.2600376605987549	396	414	hyperspatial_map_calibrated_fusion
