panel,target_key,stage,gene,n_null,observed_residual_variance,nb_null_median,nb_null_q95,observed_exceeds_nb_q95,fraction_observed_variance_above_nb_median,plotted_value,observed_moran_i,annotation,n_records,fraction_above_q95
S6j,75p_E1_to_E2,75% epiboly,zgc:113424,500.0,,0.008141801,0.01440554386936128,True,,6.684835004175879,0.09629868391209752,,,
S6j,75p_E1_to_E2,75% epiboly,zgc:174154,500.0,,0.013921778000000001,0.019094625208526846,True,,8.488105550829744,0.16207719422351027,,,
S6j,75p_E1_to_E2,75% epiboly,zgc:175088,500.0,,0.0034347912,0.008738731453195214,True,,16.03584376180299,0.14013293225979204,,,
S6j,75p_E1_to_E2,75% epiboly,zic2a,500.0,,0.006363321999999999,0.012125370185822243,True,,34.77791481940704,0.4216950914763037,,,
S6j,75p_E1_to_E2,75% epiboly,zic2b,500.0,,0.0066899117000000004,0.012178369797766209,True,,16.18958362210618,0.1971627362218684,,,
S6j,75p_E1_to_E2,75% epiboly,zmp:0000000624,500.0,,0.0050924798,0.010257295146584508,True,,8.516277790635273,0.08735397484884863,,,
S6j,75p_E1_to_E2,75% epiboly,znf1004,500.0,,0.021212757000000002,0.02712779724970459,True,,8.296249758372857,0.22505898137804956,,,
S6j,75p_E1_to_E2,75% epiboly,znf576.2,500.0,,0.005144567,0.01009753793478011,True,,12.112615244770296,0.12230759192346392,,,
S6j,75p_E1_to_E2,75% epiboly,znfl2a,500.0,,0.0051237185999999995,0.010452479589730496,True,,19.882031996636574,0.20781653364721245,,,
S6j,75p_E1_to_E2,75% epiboly,zswim5,500.0,,0.0018491157000000002,0.007550273532979191,True,,14.758335306226295,0.11142946845343274,,,
S6j,75p_E2_to_E1,75% epiboly,ackr3b,500.0,,0.006305839000000001,0.011351723689585922,True,,13.715527939645295,0.1556948834276491,,,
S6j,75p_E2_to_E1,75% epiboly,acvr1ba,500.0,,0.0030487878,0.00865677800029516,True,,18.70534130304577,0.16192798708021902,,,
S6j,75p_E2_to_E1,75% epiboly,adka,500.0,,0.002554484,0.00790365999564528,True,,18.485606893085453,0.14610395169610413,,,
S6j,75p_E2_to_E1,75% epiboly,admp,500.0,,0.007208568,0.012208158336579795,True,,27.990439546556132,0.341711717894822,,,
S6j,75p_E2_to_E1,75% epiboly,ahi1,500.0,,0.0018308767000000002,0.006670776405371723,True,,24.507463035069463,0.16348380616986105,,,
S6j,75p_E2_to_E1,75% epiboly,akap12b,500.0,,0.0008572647,0.00646502340678125,True,,30.699449565349223,0.1984726600152832,,,
S6j,75p_E2_to_E1,75% epiboly,alcamb,500.0,,0.00033666699999999997,0.005058131436817347,True,,51.39370122464022,0.25995609581875084,,,
S6j,75p_E2_to_E1,75% epiboly,aldob,500.0,,-0.00015051202,0.004416236607357858,True,,35.52755929025133,0.1568981079076847,,,
S6j,75p_E2_to_E1,75% epiboly,anp32e,500.0,,0.0017100889,0.006754502910189321,True,,34.780481088112296,0.23492486072743915,,,
S6j,75p_E2_to_E1,75% epiboly,apex1,500.0,,0.0031724505,0.008681017719209193,True,,12.19076230107994,0.1058282235463424,,,
S6j,75p_E2_to_E1,75% epiboly,aplnra,500.0,,0.0014525428,0.006529750232584774,True,,19.294374188271256,0.1259874443434419,,,
S6j,75p_E2_to_E1,75% epiboly,aplnrb,500.0,,0.0023356445999999998,0.007770720985718067,True,,10.85392824987906,0.08434284802881338,,,
