record_type	fold	train_embryo	test_embryo	cohort	method	method_label	gene	genes	cells	ancestor_families	descendant_cells	rho_future_pooled_frozen_raw	rho_future_pooled	future_residual_status	rho_future_macro	rho_future_median	final_pearson_macro	final_spearman_macro	rmse	normalized_rmse	moran_error	domain_gene_count	median_domain_dice	family_bootstrap_estimate	family_bootstrap_ci95_low	family_bootstrap_ci95_high	bootstrap_unit	family_bootstrap_replicates	trajectory_free_gene_rho	trajectory_aware_gene_rho	trajectory_delta_future_residual_pearson	trajectory_improved	evaluation_unit	confirmatory_non_anchor
gene_trajectory_comparison	A	E1	E2	full			cdh6																						0.09277225	0.22811076	0.13533851	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			cdkn1ca																						0.0	0.17855520000000003	0.17855520000000003	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			cdt1																						0.20129642	0.22801073	0.02671430999999999	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			cdx1a																						-0.02138616	0.6787701	0.7001562600000001	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			cdx4																						-0.037070602	0.6138209	0.650891502	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			cenpf																						0.13195883	0.16781066	0.03585183	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			cfl1l																						0.07204934	0.11579823	0.04374889	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			chaf1a																						0.17092375	0.18789609	0.016972339999999975	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			chst11																						0.17629686	0.15021932	-0.02607754000000001	False	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			cldnd																						0.09430219999999999	0.19355962	0.09925742	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			clic4																						0.19720222	0.29215425	0.09495202999999999	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			clocka																						0.0	0.029724997000000003	0.029724997000000003	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			cmtm6																						0.14344005	0.17967337	0.036233319999999986	True	gene_within_directional_target_embryo	True
gene_trajectory_comparison	A	E1	E2	full			cnmd																						0.1502528	0.11519144	-0.035061359999999986	False	gene_within_directional_target_embryo	True
